Cu,63.546,2
OH,17.007,-1
pz,67.071,-1
CO3,60.008,-2
C4H9CO2,101.125,-1
SO4,96.056,-2
MnO4-2,118.934,-2
MnO4-1,118.9340,-1
Bu4N,242.471,1
NO3,62.004,-1
Na,22.99,1
K,39.098,1
test1,50.000,0
test2,50.001,0
test3,50.002,0
test4,50.003,0
test5,50.004,0
test6,50.005,0
test7,50.006,0
test8,50.007,0
test9,50.008,0
test10,50.008,0
test11,50.010,0
test12,50.011,0
test13,50.012,0
test14,50.013,0
test15,50.014,0
test16,50.015,0
test17,50.016,0
test18,50.017,0
test19,50.018,0
test20,50.019,0
